toucher,passer,receiver,shooter,goalie,assister,blocker,shooterId,assisterId,blockerId,receiverId,passerId,toucherId,goalieId,gameId,espnEventId,optaMatchId,eventGuid,gameEventIndex,sequenceId,phaseId,sequenceEventNum,possessionSeqNum,possessionNumInPeriod,playType,Period,gameClock,sequenceSeconds,possessionSeconds,eventTeamAbbrevName,teamId,teamImageId,teamFullName,Team,teamAbbrevName,teamShortName,newestTeamColor,optaTeamId,Date,homeTeam,awayTeam,homeCurrentScore,awayCurrentScore,teamAbbrevName,Team,teamId,teamImageId,opponent,opponentId,opponentTeamImageId,opponentCurrentScore,teamCurrentScore,homeFinalScore,awayFinalScore,teamFinalScore,opponentFinalScore,numberOfPeriods,periodLength,gameDate,Result,scoreAtTime,xG,xA,ShotDist,reportId,PsDist,PsDirection,PsCompleted,Chance,xGOT,ShotPlayStyle,BodyPart,Pressure,PlyrsBtwn
Pau Cubarsí,Pau Cubarsí,J. Koundé,,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,bkwxem45cf48k14euwqe7rs44,bkwxem45cf48k14euwqe7rs44,,6fxech6nwatkx9ve4yusp3uhg,6fxech6nwatkx9ve4yusp3uhg,2445100,6fxech6nwatkx9ve4yusp3uhg:19,19,2,4,9,2,2,Pass,1,47,119,124,BAR,,,Barcelona,Barcelona,BAR,Barcelona,#003399,178,2024-10-20,Barcelona,Sevilla,0,0,BAR,BAR,agh9ifb2mw3ivjusgedj7c3fe,178,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,5,1,5,1,2,45,2024-10-20 19:00:00,W 5-1,0-0,0.00,0.0001,0.0,null-223,21.7,Forward,Yes,No,0.00,,Other,None,
J. Koundé,J. Koundé,Marc Casadó,,,,,,,,3hht0os2uzu234yq550i3fbe2,cscn06kwqfzo09h0dc5ybt1pl,cscn06kwqfzo09h0dc5ybt1pl,,6fxech6nwatkx9ve4yusp3uhg,6fxech6nwatkx9ve4yusp3uhg,2445100,6fxech6nwatkx9ve4yusp3uhg:20,20,2,4,10,2,2,Pass,1,52,119,124,BAR,,,Barcelona,Barcelona,BAR,Barcelona,#003399,178,2024-10-20,Barcelona,Sevilla,0,0,BAR,BAR,agh9ifb2mw3ivjusgedj7c3fe,178,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,5,1,5,1,2,45,2024-10-20 19:00:00,W 5-1,0-0,0.00,0.0001,0.0,null-223,8.3,Square,Yes,No,0.00,,Other,None,
Marc Casadó,Marc Casadó,Pau Cubarsí,,,,,,,,bkwxem45cf48k14euwqe7rs44,3hht0os2uzu234yq550i3fbe2,3hht0os2uzu234yq550i3fbe2,,6fxech6nwatkx9ve4yusp3uhg,6fxech6nwatkx9ve4yusp3uhg,2445100,6fxech6nwatkx9ve4yusp3uhg:21,21,2,4,11,2,2,Pass,1,53,119,124,BAR,,,Barcelona,Barcelona,BAR,Barcelona,#003399,178,2024-10-20,Barcelona,Sevilla,0,0,BAR,BAR,agh9ifb2mw3ivjusgedj7c3fe,178,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,5,1,5,1,2,45,2024-10-20 19:00:00,W 5-1,0-0,0.00,0.0000,0.0,null-223,21.1,Backward,Yes,No,0.00,,Other,None,
Pau Cubarsí,Pau Cubarsí,Iñigo Martínez,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,bkwxem45cf48k14euwqe7rs44,bkwxem45cf48k14euwqe7rs44,,6fxech6nwatkx9ve4yusp3uhg,6fxech6nwatkx9ve4yusp3uhg,2445100,6fxech6nwatkx9ve4yusp3uhg:22,22,2,4,12,2,2,Pass,1,58,119,124,BAR,,,Barcelona,Barcelona,BAR,Barcelona,#003399,178,2024-10-20,Barcelona,Sevilla,0,0,BAR,BAR,agh9ifb2mw3ivjusgedj7c3fe,178,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,5,1,5,1,2,45,2024-10-20 19:00:00,W 5-1,0-0,0.00,0.0001,0.0,null-223,28.2,Square,Yes,No,0.00,,Other,None,
Iñigo Martínez,Iñigo Martínez,Lamine Yamal,,,,,,,,abr79wsl0folgkyvl821ggs2c,cd5napttmwk5o9gxw3cbb4ted,cd5napttmwk5o9gxw3cbb4ted,,6fxech6nwatkx9ve4yusp3uhg,6fxech6nwatkx9ve4yusp3uhg,2445100,6fxech6nwatkx9ve4yusp3uhg:23,23,2,4,13,2,2,Pass,1,61,119,124,BAR,,,Barcelona,Barcelona,BAR,Barcelona,#003399,178,2024-10-20,Barcelona,Sevilla,0,0,BAR,BAR,agh9ifb2mw3ivjusgedj7c3fe,178,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,5,1,5,1,2,45,2024-10-20 19:00:00,W 5-1,0-0,0.00,0.0007,0.0,null-223,47.3,Square,Yes,No,0.00,,Other,None,
Lamine Yamal,Lamine Yamal,J. Koundé,,,,,,,,cscn06kwqfzo09h0dc5ybt1pl,abr79wsl0folgkyvl821ggs2c,abr79wsl0folgkyvl821ggs2c,,6fxech6nwatkx9ve4yusp3uhg,6fxech6nwatkx9ve4yusp3uhg,2445100,6fxech6nwatkx9ve4yusp3uhg:24,24,2,5,14,2,2,Pass,1,70,119,124,BAR,,,Barcelona,Barcelona,BAR,Barcelona,#003399,178,2024-10-20,Barcelona,Sevilla,0,0,BAR,BAR,agh9ifb2mw3ivjusgedj7c3fe,178,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,5,1,5,1,2,45,2024-10-20 19:00:00,W 5-1,0-0,0.00,0.0008,0.0,null-223,7.9,Forward,Yes,No,0.00,,Other,None,
J. Koundé,J. Koundé,Marc Casadó,,,,,,,,3hht0os2uzu234yq550i3fbe2,cscn06kwqfzo09h0dc5ybt1pl,cscn06kwqfzo09h0dc5ybt1pl,,6fxech6nwatkx9ve4yusp3uhg,6fxech6nwatkx9ve4yusp3uhg,2445100,6fxech6nwatkx9ve4yusp3uhg:25,25,2,5,15,2,2,Pass,1,74,119,124,BAR,,,Barcelona,Barcelona,BAR,Barcelona,#003399,178,2024-10-20,Barcelona,Sevilla,0,0,BAR,BAR,agh9ifb2mw3ivjusgedj7c3fe,178,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,5,1,5,1,2,45,2024-10-20 19:00:00,W 5-1,0-0,0.00,0.0003,0.0,null-223,12.4,Backward,Yes,No,0.00,,Other,None,
Marc Casadó,Marc Casadó,Pau Cubarsí,,,,,,,,bkwxem45cf48k14euwqe7rs44,3hht0os2uzu234yq550i3fbe2,3hht0os2uzu234yq550i3fbe2,,6fxech6nwatkx9ve4yusp3uhg,6fxech6nwatkx9ve4yusp3uhg,2445100,6fxech6nwatkx9ve4yusp3uhg:26,26,2,5,16,2,2,Pass,1,76,119,124,BAR,,,Barcelona,Barcelona,BAR,Barcelona,#003399,178,2024-10-20,Barcelona,Sevilla,0,0,BAR,BAR,agh9ifb2mw3ivjusgedj7c3fe,178,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,5,1,5,1,2,45,2024-10-20 19:00:00,W 5-1,0-0,0.00,0.0002,0.0,null-223,11.9,Square,Yes,No,0.00,,Other,None,
Pau Cubarsí,Pau Cubarsí,Iñigo Martínez,,,,,,,,cd5napttmwk5o9gxw3cbb4ted,bkwxem45cf48k14euwqe7rs44,bkwxem45cf48k14euwqe7rs44,,6fxech6nwatkx9ve4yusp3uhg,6fxech6nwatkx9ve4yusp3uhg,2445100,6fxech6nwatkx9ve4yusp3uhg:27,27,2,6,17,2,2,Pass,1,78,119,124,BAR,,,Barcelona,Barcelona,BAR,Barcelona,#003399,178,2024-10-20,Barcelona,Sevilla,0,0,BAR,BAR,agh9ifb2mw3ivjusgedj7c3fe,178,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,5,1,5,1,2,45,2024-10-20 19:00:00,W 5-1,0-0,0.00,0.0006,0.0,null-223,24.8,Square,Yes,No,0.00,,Other,None,
Iñigo Martínez,Iñigo Martínez,Alejandro Balde,,,,,,,,bzgh5psb1janz9y3btpswngbu,cd5napttmwk5o9gxw3cbb4ted,cd5napttmwk5o9gxw3cbb4ted,,6fxech6nwatkx9ve4yusp3uhg,6fxech6nwatkx9ve4yusp3uhg,2445100,6fxech6nwatkx9ve4yusp3uhg:28,28,2,6,18,2,2,Pass,1,81,119,124,BAR,,,Barcelona,Barcelona,BAR,Barcelona,#003399,178,2024-10-20,Barcelona,Sevilla,0,0,BAR,BAR,agh9ifb2mw3ivjusgedj7c3fe,178,SEV,10eyb18v5puw4ez03ocaug09m,179,0,0,5,1,5,1,2,45,2024-10-20 19:00:00,W 5-1,0-0,0.00,0.0005,0.0,null-223,17.9,Square,Yes,No,0.00,,Other,None,
